,Data,Id,Tweet Text,UserName,Location,Hashtags
25,2017-10-07 10:15:46+00:00,916607979595509760,"That moment when PM @narendramodi is at the #FIFAU17WC and all you can see is #garbage around the stadium. #SwachhBharat, really? @PMOIndia https://t.co/bjDuUbTPnz",IhitRao,"Delhi, India","['FIFAU17WC', 'garbage', 'SwachhBharat']"
26,2017-10-06 04:51:27+00:00,916163973354995712,High time we realize the importance of #landfill management. #WasteManagement #SwachhBharat #MyCleanIndia @_WeMeanToClean @SwachhBharatGov https://t.co/B4pDNyEjmw,DDSILtd,"Okhla, New Delhi","['landfill', 'WasteManagement', 'SwachhBharat', 'MyCleanIndia']"
27,2017-10-05 12:12:41+00:00,915912625506082816,Protest street no more.. #NGT bans protests at #JantarMantar Protests now only at #RamlilaGrounds to curb #noisepollution #garbage,AneeshaMathur,Delhi,"['NGT', 'JantarMantar', 'RamlilaGrounds', 'noisepollution', 'garbage']"
28,2017-10-03 17:57:49+00:00,915274703953989632,We 125 crore Indians can certainly achieve #Gandhiji's dream &amp; Modi ji's vision of @SwaachBharat if v all #BIN #GARBAGE @SwaachataHiSewa https://t.co/1GCVikvvgS,yogendrasaxena6,"New Delhi, India","['Gandhiji', 'BIN', 'GARBAGE']"
29,2017-10-02 06:56:12+00:00,914745814873812994,Honorable MP @M_Lekhi speaking to @SDMC_Official on #wastemanagement and citizen participation. #SwachhBharatAbhiyan @SwachhBharatBot https://t.co/Zv2NqA5dHx,DDSILtd,"Okhla, New Delhi","['wastemanagement', 'SwachhBharatAbhiyan']"
30,2017-09-28 05:57:00+00:00,913281367819018241,It is estimated worldwide that 1 trillion #plastic bags are used and discarded every year! https://t.co/mIRcZA4mN8,ecounifying_Ind,"New Delhi, India",['plastic']
31,2017-09-28 04:00:53+00:00,913252144525934592,"@AsmitaTheatre presented it’s hard hitting Street Play on Cleanliness #GARBAGE at #ONGC #UrjaBhawan Vasant Kunj.
Wrtn &amp; Dir by @ArvindGaur https://t.co/p8ljaaVOE4",IamRamanKra,New Delhi,"['GARBAGE', 'ONGC', 'UrjaBhawan']"
32,2017-09-27 18:08:27+00:00,913103054051741696,"India houses over 60% of the world’s open defecators, #EcoUnifyingIndia #plastic tiles can be used to built smart toilets #SwachhataHiSeva https://t.co/8jlJuKVaoP",ecounifying_Ind,"New Delhi, India","['EcoUnifyingIndia', 'plastic', 'SwachhataHiSeva']"
33,2017-09-26 07:42:53+00:00,912583236143824897,"Don't just sit back, it's time we pick up #plastic &amp; #recycle it. Check our #greenproject to know how https://t.co/29NF0bg4Xe",ecounifying_Ind,"New Delhi, India","['plastic', 'recycle', 'greenproject']"
34,2017-09-25 10:21:17+00:00,912260710637330432,As per the estimates of Central Pollution Control Board daily addition to untreated #plastic in Delhi alone is estimated at 275.6 tonnes,ecounifying_Ind,"New Delhi, India",['plastic']
35,2017-09-25 08:28:29+00:00,912232324967784448,It is alarming that only about 10 percent of the #plastic consumed is recycled! #RecycleWeek https://t.co/qdpdPjhM6P,ecounifying_Ind,"New Delhi, India","['plastic', 'RecycleWeek']"
36,2017-09-23 21:37:16+00:00,911706052508270592,"#BJP files plaint against #Karnataka CM #Siddaramaiah, minister #KJGeorge over #garbage scam
https://t.co/a5xtGAC7af https://t.co/BlY7J20MPl",FinancialXpress,India,"['BJP', 'Karnataka', 'Siddaramaiah', 'KJGeorge', 'garbage']"
37,2017-09-23 16:07:47+00:00,911623134310047744,4 me #SUSTAINABLECITIES or @SwaachBharat mean #clean #air #potable #water #garbage #pollution &amp; #noise free #roads 24x7 #electricity supply,yogendrasaxena6,"New Delhi, India","['SUSTAINABLECITIES', 'clean', 'air', 'potable', 'water', 'garbage', 'pollution', 'noise', 'roads', 'electricity']"
38,2017-09-23 10:48:12+00:00,911542712595185665,@swachhbharat With mission #SwachhataHiSeva we are creating #plastic tiles out of #plasticwaste which can be used to make public toilets. Support us https://t.co/OknG1LeOiV,ecounifying_Ind,"New Delhi, India","['SwachhataHiSeva', 'plastic', 'plasticwaste']"
39,2017-09-23 09:05:26+00:00,911516846779662336,"#plastic tiles out of #plasticwaste which are cost- effective, durable &amp; eco-friendly!ShaynaEcounified https://t.co/CeX5bOrxdl via @YouTube",ecounifying_Ind,"New Delhi, India","['plastic', 'plasticwaste']"
40,2017-09-23 09:04:07+00:00,911516519049437185,@sureshpprabhu @startupindia  @CimGOI seeking financial support to manufacture #plastic tiles by #recycling #plasticwaste https://t.co/tzFDUVpAlw,ecounifying_Ind,"New Delhi, India","['plastic', 'recycling', 'plasticwaste']"
41,2017-09-23 08:58:11+00:00,911515024908279808,@sunitanar We are the first to bring a revolutionary tech in the market that can convert #plasticwaste into #renewable #plastic tiles. https://t.co/Wpba7s7doA,ecounifying_Ind,"New Delhi, India","['plasticwaste', 'renewable', 'plastic']"
42,2017-09-20 02:19:05+00:00,910327421970391040,"This is what we #human #create 
G for #GOD 
G for #GARBAGE 

#habits #nature #practices… https://t.co/liFVAOggop",NavneetKAhuja,Faridabad (Delhi NCR) India,"['human', 'create', 'GOD', 'GARBAGE', 'habits', 'nature', 'practices']"
43,2017-09-06 07:22:45+00:00,905330413681295360,#Garbage dumped &amp; garbage trucks parked in #Delhi #park where children played earlier. https://t.co/8FcdhYbosD @TOIDelhi https://t.co/upT8vOcmZU,AlokKNMishra,"New Delhi, India","['Garbage', 'Delhi', 'park']"
44,2017-09-04 14:39:25+00:00,904715530174529536,Poorly managed #landfill  sites are grey area in scientific #WasteManagement  process. It can be solved by #segregation at source #ghazipur,DDSILtd,"Okhla, New Delhi","['landfill', 'WasteManagement', 'segregation', 'ghazipur']"
45,2017-09-02 16:44:48+00:00,904022304815955968,@noida_authority @dmgbnagar @swachhbharat @SwachhBharatGov please take necessary action otherwise it will become permanent #dumping  place of #garbage https://t.co/C5bUCLnLbK,Sharnam_Pankaj,,"['dumping', 'garbage']"
46,2017-09-02 05:57:06+00:00,903859307896127488,"#SwachhBharat needs #introspection, #people #die of #Garbage 
#india #government #BJP #AAP #Congress #Modi #RSS #WHO #dengue #malaria#Viral https://t.co/WyT7xdTvtv",professorjoshi,"New Delhi, India","['SwachhBharat', 'introspection', 'people', 'die', 'Garbage', 'india', 'government', 'BJP', 'AAP', 'Congress', 'Modi', 'RSS', 'WHO', 'dengue']"
47,2017-08-29 05:27:40+00:00,902402348810510336,"""Using a plastic bag can now possibly get you jail time in Kenya"" https://t.co/rjdxgYqzt1 #foreign #Plastic",amrishktrivedi,india,"['foreign', 'Plastic']"
